Scenario - _RPSL_incidental
Logfile written - 09/24/2019 12:59:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

r1028	1	Picture	instruct	166	0	1	31669	2	0	next	other	0
r1028	1	Response	1	31328	31162	0
r1028	2	Sound	tu	66614	34779	1			35000		other	0
r1028	3	Audio Cue	ro	70686	1516	1			0		other	0
r1028	3	Sound	cue_linfade_exp_seq_A_17.wav	70686	1516	1			0		hit	15
r1028	3	Audio Cue	ki	73187	4016	1			0		other	0
r1028	3	Audio Cue	se	75686	6516	1			0		other	0
r1028	3	Audio Cue	mi	78187	9017	1			0		other	0
r1028	3	Audio Cue	po	80686	11516	1			0		other	0
r1028	3	Audio Cue	la	83187	14016	1			0		other	0
r1028	3	Audio Cue	za	85687	16516	1			0		other	0
r1028	3	Audio Cue	be	88187	19016	1			0		other	0
r1028	3	Audio Cue	tu	90687	21517	1			0		other	0
r1028	3	Audio Cue	nu	93187	24017	1			0		other	0
r1028	3	Response	1	94207	25037	0
r1028	3	Audio Cue	ga	95687	26516	1			0		other	0
r1028	3	Audio Cue	di	98187	29017	1			0		other	0
r1028	3	Audio Cue	za	100688	31517	1			0		other	0
r1028	3	Audio Cue	be	103188	34018	1			0		other	0
r1028	3	Audio Cue	tu	105688	36517	1			0		other	0
r1028	3	Audio Cue	ro	108188	39018	1			0		other	0
r1028	3	Response	1	108448	39277	0
r1028	3	Audio Cue	ki	110688	41517	1			0		other	0
r1028	3	Audio Cue	se	113188	44017	1			0		other	0
r1028	3	Audio Cue	za	115688	46517	1			0		other	0
r1028	3	Audio Cue	be	118188	49018	1			0		other	0
r1028	3	Audio Cue	tu	120689	51518	1			0		other	0
r1028	3	Audio Cue	mi	123189	54018	1			0		other	0
r1028	3	Response	1	123568	54398	0
r1028	3	Audio Cue	po	125689	56518	1			0		other	0
r1028	3	Audio Cue	la	128188	59018	1			0		other	0
r1028	3	Audio Cue	za	130689	61518	1			0		other	0
r1028	3	Audio Cue	be	133189	64018	1			0		other	0
r1028	3	Audio Cue	tu	135689	66518	1			0		other	0
r1028	3	Audio Cue	ro	138190	69019	1			0		other	0
r1028	3	Response	1	138368	69198	0
r1028	3	Audio Cue	ki	140689	71519	1			0		other	0
r1028	3	Audio Cue	se	143189	74018	1			0		other	0
r1028	3	Audio Cue	nu	145689	76518	1			0		other	0
r1028	3	Audio Cue	ga	148189	79019	1			0		other	0
r1028	3	Response	1	150608	81437	0
r1028	3	Audio Cue	di	150689	81518	1			0		other	0
r1028	3	Audio Cue	mi	153189	84018	1			0		other	0
r1028	3	Audio Cue	po	155690	86519	1			0		other	0
r1028	3	Audio Cue	la	158189	89019	1			0		other	0
r1028	3	Audio Cue	nu	160689	91518	1			0		other	0
r1028	3	Audio Cue	ga	163189	94019	1			0		other	0
r1028	3	Audio Cue	di	165689	96519	1			0		other	0
r1028	3	Audio Cue	za	168190	99019	1			0		other	0
r1028	3	Audio Cue	be	170690	101519	1			0		other	0
r1028	3	Audio Cue	tu	173189	104019	1			0		other	0
r1028	3	Audio Cue	mi	175690	106519	1			0		other	0
r1028	3	Response	1	176448	107277	0
r1028	3	Audio Cue	po	178190	109019	1			0		other	0
r1028	3	Audio Cue	la	180690	111520	1			0		other	0
r1028	3	Audio Cue	za	183190	114020	1			0		other	0
r1028	3	Audio Cue	be	185690	116520	1			0		other	0
r1028	3	Audio Cue	tu	188190	119020	1			0		other	0
r1028	3	Audio Cue	mi	190691	121520	1			0		other	0
r1028	3	Response	1	191728	122557	0
r1028	3	Audio Cue	po	193191	124020	1			0		other	0
r1028	3	Audio Cue	la	195691	126520	1			0		other	0
r1028	3	Audio Cue	nu	198191	129020	1			0		other	0
r1028	3	Audio Cue	ga	200691	131520	1			0		other	0
r1028	3	Audio Cue	di	203191	134021	1			0		other	0
r1028	3	Audio Cue	mi	205692	136521	1			0		other	0
r1028	3	Audio Cue	po	208191	139021	1			0		other	0
r1028	3	Audio Cue	la	210691	141521	1			0		other	0
r1028	3	Audio Cue	ro	213191	144021	1			0		other	0
r1028	3	Audio Cue	ki	215691	146521	1			0		other	0
r1028	3	Audio Cue	se	218192	149021	1			0		other	0
r1028	3	Audio Cue	nu	220691	151521	1			0		other	0
r1028	3	Audio Cue	ga	223191	154021	1			0		other	0
r1028	3	Audio Cue	di	225691	156521	1			0		other	0
r1028	3	Audio Cue	mi	228192	159021	1			0		other	0
r1028	3	Audio Cue	po	230691	161520	1			0		other	0
r1028	3	Audio Cue	la	233192	164022	1			0		other	0
r1028	3	Audio Cue	ro	235692	166521	1			0		other	0
r1028	3	Audio Cue	ki	238192	169021	1			0		other	0
r1028	3	Audio Cue	se	240692	171521	1			0		other	0
r1028	3	Audio Cue	za	243192	174022	1			0		other	0
r1028	3	Audio Cue	be	245692	176521	1			0		other	0
r1028	3	Audio Cue	tu	248192	179021	1			0		other	0
r1028	3	Audio Cue	nu	250692	181521	1			0		other	0
r1028	3	Response	1	251168	181998	0
r1028	3	Audio Cue	ga	253192	184021	1			0		other	0
r1028	3	Audio Cue	di	255692	186521	1			0		other	0
r1028	3	Audio Cue	ro	258192	189022	1			0		other	0
r1028	3	Audio Cue	ki	260693	191522	1			0		other	0
r1028	3	Audio Cue	se	263192	194022	1			0		other	0
r1028	3	Audio Cue	nu	265694	196523	1			0		other	0
r1028	3	Audio Cue	ga	268193	199023	1			0		other	0
r1028	3	Audio Cue	di	270692	201522	1			0		other	0
r1028	3	Audio Cue	ro	273193	204023	1			0		other	0
r1028	3	Audio Cue	ki	275693	206522	1			0		other	0
r1028	3	Audio Cue	se	278193	209023	1			0		other	0
r1028	3	Audio Cue	nu	280694	211523	1			0		other	0
r1028	3	Audio Cue	ga	283194	214023	1			0		other	0
r1028	3	Audio Cue	di	285693	216523	1			0		other	0
r1028	3	Audio Cue	za	288194	219023	1			0		other	0
r1028	3	Audio Cue	be	290694	221523	1			0		other	0
r1028	3	Audio Cue	tu	293194	224023	1			0		other	0
r1028	3	Audio Cue	nu	295694	226523	1			0		other	0
r1028	3	Response	1	296928	227758	0
r1028	3	Audio Cue	ga	298194	229024	1			0		other	0
r1028	3	Audio Cue	di	300694	231524	1			0		other	0
r1028	3	Audio Cue	mi	303193	234022	1			0		other	0
r1028	3	Audio Cue	po	305693	236523	1			0		other	0
r1028	3	Audio Cue	la	308194	239023	1			0		other	0
r1028	3	Audio Cue	za	310694	241523	1			0		other	0
r1028	3	Audio Cue	be	313194	244024	1			0		other	0
r1028	3	Audio Cue	tu	315694	246524	1			0		other	0
r1028	3	Audio Cue	ro	318194	249024	1			0		other	0
r1028	3	Response	1	318928	249757	0
r1028	3	Audio Cue	ki	320694	251523	1			0		other	0
r1028	3	Audio Cue	se	323194	254023	1			0		other	0
r1028	3	Audio Cue	mi	325694	256524	1			0		other	0
r1028	3	Audio Cue	po	328195	259024	1			0		other	0
r1028	3	Audio Cue	la	330695	261524	1			0		other	0
r1028	3	Audio Cue	ro	333195	264024	1			0		other	0
r1028	3	Audio Cue	ki	335695	266524	1			0		other	0
r1028	3	Audio Cue	se	338195	269024	1			0		other	0
r1028	3	Audio Cue	za	340695	271524	1			0		other	0
r1028	3	Audio Cue	be	343195	274025	1			0		other	0
r1028	3	Audio Cue	tu	345695	276524	1			0		other	0
r1028	3	Audio Cue	nu	348196	279025	1			0		other	0
r1028	3	Response	1	348928	279758	0
r1028	3	Audio Cue	ga	350696	281526	1			0		other	0
r1028	3	Audio Cue	di	353195	284025	1			0		other	0
r1028	3	Audio Cue	za	355695	286525	1			0		other	0
r1028	3	Audio Cue	be	358195	289025	1			0		other	0
r1028	3	Audio Cue	tu	360695	291524	1			0		other	0
r1028	3	Audio Cue	mi	363196	294025	1			0		other	0
r1028	3	Response	1	364848	295677	0
r1028	3	Audio Cue	po	365696	296525	1			0		other	0
r1028	3	Audio Cue	la	368196	299026	1			0		other	0
r1028	3	Audio Cue	ro	370695	301525	1			0		other	0
r1028	3	Audio Cue	ki	373195	304025	1			0		other	0
r1028	3	Audio Cue	se	375696	306526	1			0		other	0
r1028	3	Audio Cue	za	378196	309026	1			0		other	0
r1028	3	Audio Cue	be	380696	311525	1			0		other	0
r1028	3	Audio Cue	tu	383195	314025	1			0		other	0
r1028	3	Audio Cue	nu	385696	316526	1			0		other	0
r1028	3	Response	1	386208	317038	0
r1028	3	Audio Cue	ga	388197	319026	1			0		other	0
r1028	3	Audio Cue	di	390697	321526	1			0		other	0
r1028	3	Audio Cue	ro	393197	324026	1			0		other	0
r1028	3	Audio Cue	ki	395696	326525	1			0		other	0
r1028	3	Audio Cue	se	398197	329027	1			0		other	0
r1028	3	Audio Cue	za	400697	331526	1			0		other	0
r1028	3	Audio Cue	be	403197	334027	1			0		other	0
r1028	3	Audio Cue	tu	405697	336526	1			0		other	0
r1028	3	Audio Cue	nu	408197	339026	1			0		other	0
r1028	3	Response	1	408689	339518	0
r1028	3	Audio Cue	ga	410698	341528	1			0		other	0
r1028	3	Audio Cue	di	413197	344027	1			0		other	0
r1028	3	Audio Cue	za	415697	346527	1			0		other	0
r1028	3	Audio Cue	be	418199	349028	1			0		other	0
r1028	3	Audio Cue	tu	420699	351528	1			0		other	0
r1028	3	Audio Cue	mi	423198	354028	1			0		other	0
r1028	3	Response	1	424689	355519	0
r1028	3	Audio Cue	po	425698	356527	1			0		other	0
r1028	3	Audio Cue	la	428199	359028	1			0		other	0
r1028	3	Audio Cue	nu	430697	361527	1			0		other	0
r1028	3	Audio Cue	ga	433198	364027	1			0		other	0
r1028	3	Audio Cue	di	435698	366527	1			0		other	0
r1028	3	Audio Cue	za	438199	369028	1			0		other	0
r1028	3	Audio Cue	be	440698	371528	1			0		other	0
r1028	3	Audio Cue	tu	443198	374027	1			0		other	0
r1028	3	Audio Cue	ro	445698	376527	1			0		other	0
r1028	3	Response	1	446288	377117	0
r1028	3	Audio Cue	ki	448199	379028	1			0		other	0
r1028	3	Audio Cue	se	450699	381529	1			0		other	0
r1028	3	Audio Cue	nu	453199	384029	1			0		other	0
r1028	3	Audio Cue	ga	455700	386529	1			0		other	0
r1028	3	Audio Cue	di	458198	389028	1			0		other	0
r1028	3	Audio Cue	ro	460699	391528	1			0		other	0
r1028	3	Audio Cue	ki	463199	394028	1			0		other	0
r1028	3	Audio Cue	se	465699	396528	1			0		other	0
r1028	3	Audio Cue	nu	468200	399029	1			0		other	0
r1028	3	Audio Cue	ga	470699	401528	1			0		other	0
r1028	3	Audio Cue	di	473199	404028	1			0		other	0
r1028	3	Audio Cue	za	475699	406529	1			0		other	0
r1028	3	Audio Cue	be	478200	409029	1			0		other	0
r1028	3	Audio Cue	tu	480699	411528	1			0		other	0
r1028	3	Audio Cue	mi	483199	414028	1			0		other	0
r1028	3	Response	1	485089	415918	0
r1028	3	Audio Cue	po	485699	416529	1			0		other	0
r1028	3	Audio Cue	la	488200	419029	1			0		other	0
r1028	3	Audio Cue	nu	490700	421529	1			0		other	0
r1028	3	Audio Cue	ga	493200	424030	1			0		other	0
r1028	3	Audio Cue	di	495700	426529	1			0		other	0
r1028	3	Audio Cue	mi	498200	429030	1			0		other	0
r1028	3	Audio Cue	po	500700	431529	1			0		other	0
r1028	3	Audio Cue	la	503201	434030	1			0		other	0
r1028	3	Audio Cue	ro	505700	436529	1			0		other	0
r1028	3	Audio Cue	ki	508200	439030	1			0		other	0
r1028	3	Audio Cue	se	510700	441530	1			0		other	0
r1028	3	Audio Cue	mi	513200	444030	1			0		other	0
r1028	3	Audio Cue	po	515701	446530	1			0		other	0
r1028	3	Audio Cue	la	518200	449030	1			0		other	0
r1028	3	Audio Cue	ro	520701	451530	1			0		other	0
r1028	3	Audio Cue	ki	523201	454030	1			0		other	0
r1028	3	Audio Cue	se	525701	456530	1			0		other	0
r1028	3	Audio Cue	za	528201	459031	1			0		other	0
r1028	3	Audio Cue	be	530700	461530	1			0		other	0
r1028	3	Audio Cue	tu	533201	464030	1			0		other	0
r1028	3	Audio Cue	mi	535701	466530	1			0		other	0
r1028	3	Response	1	536129	466958	0
r1028	3	Audio Cue	po	538201	469030	1			0		other	0
r1028	3	Audio Cue	la	540702	471531	1			0		other	0
r1028	3	Audio Cue	ro	543202	474031	1			0		other	0
r1028	3	Audio Cue	ki	545701	476530	1			0		other	0
r1028	3	Audio Cue	se	548201	479030	1			0		other	0
r1028	3	Audio Cue	mi	550701	481531	1			0		other	0
r1028	3	Audio Cue	po	553202	484031	1			0		other	0
r1028	3	Audio Cue	la	555701	486531	1			0		other	0
r1028	3	Audio Cue	ro	558202	489032	1			0		other	0
r1028	3	Audio Cue	ki	560702	491531	1			0		other	0
r1028	3	Audio Cue	se	563201	494031	1			0		other	0
r1028	3	Audio Cue	mi	565702	496531	1			0		other	0
r1028	3	Audio Cue	po	568202	499032	1			0		other	0
r1028	3	Audio Cue	la	570703	501532	1			0		other	0
r1028	3	Audio Cue	ro	573203	504032	1			0		other	0
r1028	3	Audio Cue	ki	575703	506533	1			0		other	0
r1028	3	Audio Cue	se	578202	509031	1			0		other	0
r1028	3	Audio Cue	nu	580702	511531	1			0		other	0
r1028	3	Audio Cue	ga	583203	514032	1			0		other	0
r1028	3	Audio Cue	di	585702	516532	1			0		other	0
r1028	3	Audio Cue	za	588202	519032	1			0		other	0
r1028	3	Audio Cue	be	590703	521532	1			0		other	0
r1028	3	Audio Cue	tu	593203	524032	1			0		other	0
r1028	3	Audio Cue	mi	595704	526533	1			0		other	0
r1028	3	Response	1	596449	527279	0
r1028	3	Audio Cue	po	598204	529033	1			0		other	0
r1028	3	Audio Cue	la	600703	531533	1			0		other	0
r1028	3	Audio Cue	nu	603204	534033	1			0		other	0
r1028	3	Audio Cue	ga	605703	536533	1			0		other	0
r1028	3	Audio Cue	di	608203	539032	1			0		other	0
r1028	4	Picture	break	610872	0	2	14001	2	0	next	other	0
r1028	4	Response	1	624369	13497	0
r1028	5	Sound	ki	659857	34984	1			35000		other	0
r1028	6	Audio Cue	mi	663706	1163	1			0		other	0
r1028	6	Sound	cue_linfade_exp_seq_A_02.wav	663706	1163	1			0		hit	278
r1028	6	Audio Cue	po	666205	3663	1			0		other	0
r1028	6	Audio Cue	la	668705	6163	1			0		other	0
r1028	6	Audio Cue	nu	671205	8663	1			0		other	0
r1028	6	Audio Cue	ga	673705	11163	1			0		other	0
r1028	6	Audio Cue	di	676205	13663	1			0		other	0
r1028	6	Audio Cue	mi	678706	16163	1			0		other	0
r1028	6	Audio Cue	po	681206	18663	1			0		other	0
r1028	6	Audio Cue	la	683706	21164	1			0		other	0
r1028	6	Audio Cue	za	686206	23664	1			0		other	0
r1028	6	Audio Cue	be	688706	26164	1			0		other	0
r1028	6	Audio Cue	tu	691206	28663	1			0		other	0
r1028	6	Audio Cue	mi	693706	31163	1			0		other	0
r1028	6	Audio Cue	po	696207	33664	1			0		other	0
r1028	6	Audio Cue	la	698706	36164	1			0		other	0
r1028	6	Audio Cue	nu	701206	38664	1			0		other	0
r1028	6	Audio Cue	ga	703706	41164	1			0		other	0
r1028	6	Audio Cue	di	706207	43665	1			0		other	0
r1028	6	Audio Cue	za	708706	46164	1			0		other	0
r1028	6	Audio Cue	be	711207	48664	1			0		other	0
r1028	6	Audio Cue	tu	713707	51165	1			0		other	0
r1028	6	Audio Cue	mi	716207	53665	1			0		other	0
r1028	6	Audio Cue	po	718707	56165	1			0		other	0
r1028	6	Audio Cue	la	721207	58665	1			0		other	0
r1028	6	Audio Cue	ro	723707	61165	1			0		other	0
r1028	6	Audio Cue	ki	726207	63665	1			0		other	0
r1028	6	Audio Cue	se	728707	66165	1			0		other	0
r1028	6	Audio Cue	nu	731207	68665	1			0		other	0
r1028	6	Audio Cue	ga	733707	71165	1			0		other	0
r1028	6	Audio Cue	di	736207	73665	1			0		other	0
r1028	6	Audio Cue	ro	738708	76165	1			0		other	0
r1028	6	Audio Cue	ki	741208	78665	1			0		other	0
r1028	6	Audio Cue	se	743708	81165	1			0		other	0
r1028	6	Audio Cue	nu	746207	83665	1			0		other	0
r1028	6	Response	1	746369	83827	0
r1028	6	Audio Cue	ga	748708	86165	1			0		other	0
r1028	6	Audio Cue	di	751208	88666	1			0		other	0
r1028	6	Audio Cue	ro	753708	91165	1			0		other	0
r1028	6	Audio Cue	ki	756208	93666	1			0		other	0
r1028	6	Audio Cue	se	758708	96166	1			0		other	0
r1028	6	Response	1	759569	97027	0
r1028	6	Audio Cue	za	761208	98666	1			0		other	0
r1028	6	Audio Cue	be	763708	101166	1			0		other	0
r1028	6	Audio Cue	tu	766208	103666	1			0		other	0
r1028	6	Audio Cue	mi	768708	106166	1			0		other	0
r1028	6	Audio Cue	po	771209	108667	1			0		other	0
r1028	6	Audio Cue	la	773708	111166	1			0		other	0
r1028	6	Audio Cue	za	776208	113666	1			0		other	0
r1028	6	Audio Cue	be	778708	116166	1			0		other	0
r1028	6	Audio Cue	tu	781209	118667	1			0		other	0
r1028	6	Audio Cue	ro	783709	121167	1			0		other	0
r1028	6	Audio Cue	ki	786209	123667	1			0		other	0
r1028	6	Audio Cue	se	788709	126167	1			0		other	0
r1028	6	Response	1	790289	127746	0
r1028	6	Audio Cue	nu	791209	128667	1			0		other	0
r1028	6	Audio Cue	ga	793709	131167	1			0		other	0
r1028	6	Audio Cue	di	796210	133667	1			0		other	0
r1028	6	Audio Cue	mi	798710	136167	1			0		other	0
r1028	6	Audio Cue	po	801210	138668	1			0		other	0
r1028	6	Audio Cue	la	803710	141168	1			0		other	0
r1028	6	Audio Cue	za	806211	143668	1			0		other	0
r1028	6	Audio Cue	be	808710	146168	1			0		other	0
r1028	6	Audio Cue	tu	811210	148668	1			0		other	0
r1028	6	Audio Cue	ro	813711	151168	1			0		other	0
r1028	6	Audio Cue	ki	816211	153668	1			0		other	0
r1028	6	Audio Cue	se	818711	156168	1			0		other	0
r1028	6	Response	1	819649	157107	0
r1028	6	Audio Cue	mi	821211	158669	1			0		other	0
r1028	6	Audio Cue	po	823711	161168	1			0		other	0
r1028	6	Audio Cue	la	826210	163668	1			0		other	0
r1028	6	Audio Cue	ro	828710	166168	1			0		other	0
r1028	6	Audio Cue	ki	831212	168669	1			0		other	0
r1028	6	Audio Cue	se	833711	171169	1			0		other	0
r1028	6	Response	1	835409	172867	0
r1028	6	Audio Cue	za	836211	173669	1			0		other	0
r1028	6	Audio Cue	be	838711	176168	1			0		other	0
r1028	6	Audio Cue	tu	841211	178669	1			0		other	0
r1028	6	Audio Cue	mi	843711	181169	1			0		other	0
r1028	6	Audio Cue	po	846212	183670	1			0		other	0
r1028	6	Audio Cue	la	848711	186169	1			0		other	0
r1028	6	Audio Cue	nu	851212	188670	1			0		other	0
r1028	6	Audio Cue	ga	853712	191170	1			0		other	0
r1028	6	Audio Cue	di	856211	193669	1			0		other	0
r1028	6	Audio Cue	za	858711	196169	1			0		other	0
r1028	6	Audio Cue	be	861212	198670	1			0		other	0
r1028	6	Audio Cue	tu	863712	201169	1			0		other	0
r1028	6	Audio Cue	nu	866211	203669	1			0		other	0
r1028	6	Audio Cue	ga	868712	206170	1			0		other	0
r1028	6	Audio Cue	di	871213	208670	1			0		other	0
r1028	6	Audio Cue	ro	873713	211170	1			0		other	0
r1028	6	Audio Cue	ki	876212	213670	1			0		other	0
r1028	6	Audio Cue	se	878712	216170	1			0		other	0
r1028	6	Audio Cue	nu	881213	218671	1			0		other	0
r1028	6	Response	1	881569	219027	0
r1028	6	Audio Cue	ga	883712	221170	1			0		other	0
r1028	6	Audio Cue	di	886213	223671	1			0		other	0
r1028	6	Audio Cue	ro	888713	226170	1			0		other	0
r1028	6	Audio Cue	ki	891212	228670	1			0		other	0
r1028	6	Audio Cue	se	893713	231171	1			0		other	0
r1028	6	Response	1	895729	233187	0
r1028	6	Audio Cue	za	896213	233671	1			0		other	0
r1028	6	Audio Cue	be	898712	236170	1			0		other	0
r1028	6	Audio Cue	tu	901212	238670	1			0		other	0
r1028	6	Audio Cue	ro	903713	241171	1			0		other	0
r1028	6	Audio Cue	ki	906213	243671	1			0		other	0
r1028	6	Audio Cue	se	908713	246171	1			0		other	0
r1028	6	Audio Cue	mi	911213	248671	1			0		other	0
r1028	6	Audio Cue	po	913713	251171	1			0		other	0
r1028	6	Audio Cue	la	916214	253671	1			0		other	0
r1028	6	Audio Cue	nu	918714	256172	1			0		other	0
r1028	6	Audio Cue	ga	921214	258671	1			0		other	0
r1028	6	Audio Cue	di	923714	261171	1			0		other	0
r1028	6	Audio Cue	za	926213	263671	1			0		other	0
r1028	6	Audio Cue	be	928713	266171	1			0		other	0
r1028	6	Audio Cue	tu	931214	268671	1			0		other	0
r1028	6	Audio Cue	mi	933714	271172	1			0		other	0
r1028	6	Audio Cue	po	936214	273672	1			0		other	0
r1028	6	Audio Cue	la	938714	276171	1			0		other	0
r1028	6	Audio Cue	za	941214	278672	1			0		other	0
r1028	6	Audio Cue	be	943715	281173	1			0		other	0
r1028	6	Audio Cue	tu	946214	283672	1			0		other	0
r1028	6	Audio Cue	mi	948714	286171	1			0		other	0
r1028	6	Audio Cue	po	951214	288671	1			0		other	0
r1028	6	Audio Cue	la	953715	291172	1			0		other	0
r1028	6	Audio Cue	za	956214	293672	1			0		other	0
r1028	6	Audio Cue	be	958715	296173	1			0		other	0
r1028	6	Audio Cue	tu	961214	298672	1			0		other	0
r1028	6	Audio Cue	ro	963714	301172	1			0		other	0
r1028	6	Audio Cue	ki	966215	303673	1			0		other	0
r1028	6	Audio Cue	se	968716	306174	1			0		other	0
r1028	6	Response	1	971170	308628	0
r1028	6	Audio Cue	za	971215	308673	1			0		other	0
r1028	6	Audio Cue	be	973715	311173	1			0		other	0
r1028	6	Audio Cue	tu	976215	313673	1			0		other	0
r1028	6	Audio Cue	nu	978716	316173	1			0		other	0
r1028	6	Audio Cue	ga	981216	318674	1			0		other	0
r1028	6	Audio Cue	di	983715	321173	1			0		other	0
r1028	6	Audio Cue	mi	986215	323673	1			0		other	0
r1028	6	Audio Cue	po	988716	326174	1			0		other	0
r1028	6	Audio Cue	la	991217	328674	1			0		other	0
r1028	6	Audio Cue	ro	993716	331174	1			0		other	0
r1028	6	Audio Cue	ki	996216	333674	1			0		other	0
r1028	6	Audio Cue	se	998716	336173	1			0		other	0
r1028	6	Response	1	1000449	337907	0
r1028	6	Audio Cue	mi	1001215	338673	1			0		other	0
r1028	6	Audio Cue	po	1003716	341174	1			0		other	0
r1028	6	Audio Cue	la	1006216	343674	1			0		other	0
r1028	6	Audio Cue	nu	1008716	346174	1			0		other	0
r1028	6	Audio Cue	ga	1011217	348674	1			0		other	0
r1028	6	Audio Cue	di	1013716	351174	1			0		other	0
r1028	6	Audio Cue	mi	1016217	353675	1			0		other	0
r1028	6	Audio Cue	po	1018718	356175	1			0		other	0
r1028	6	Audio Cue	la	1021217	358674	1			0		other	0
r1028	6	Audio Cue	za	1023717	361175	1			0		other	0
r1028	6	Audio Cue	be	1026217	363674	1			0		other	0
r1028	6	Audio Cue	tu	1028717	366174	1			0		other	0
r1028	6	Audio Cue	ro	1031217	368674	1			0		other	0
r1028	6	Audio Cue	ki	1033717	371174	1			0		other	0
r1028	6	Audio Cue	se	1036217	373675	1			0		other	0
r1028	6	Response	1	1038290	375748	0
r1028	6	Audio Cue	nu	1038718	376175	1			0		other	0
r1028	6	Audio Cue	ga	1041217	378675	1			0		other	0
r1028	6	Audio Cue	di	1043718	381175	1			0		other	0
r1028	6	Audio Cue	ro	1046218	383676	1			0		other	0
r1028	6	Audio Cue	ki	1048718	386176	1			0		other	0
r1028	6	Audio Cue	se	1051218	388675	1			0		other	0
r1028	6	Response	1	1052850	390308	0
r1028	6	Audio Cue	nu	1053718	391176	1			0		other	0
r1028	6	Audio Cue	ga	1056218	393675	1			0		other	0
r1028	6	Audio Cue	di	1058718	396176	1			0		other	0
r1028	6	Audio Cue	za	1061218	398676	1			0		other	0
r1028	6	Audio Cue	be	1063718	401176	1			0		other	0
r1028	6	Audio Cue	tu	1066218	403676	1			0		other	0
r1028	6	Audio Cue	nu	1068719	406176	1			0		other	0
r1028	6	Audio Cue	ga	1071218	408676	1			0		other	0
r1028	6	Audio Cue	di	1073718	411176	1			0		other	0
r1028	6	Audio Cue	mi	1076218	413676	1			0		other	0
r1028	6	Audio Cue	po	1078719	416176	1			0		other	0
r1028	6	Audio Cue	la	1081218	418676	1			0		other	0
r1028	6	Audio Cue	za	1083718	421176	1			0		other	0
r1028	6	Audio Cue	be	1086218	423676	1			0		other	0
r1028	6	Audio Cue	tu	1088719	426176	1			0		other	0
r1028	6	Audio Cue	nu	1091219	428676	1			0		other	0
r1028	6	Audio Cue	ga	1093719	431177	1			0		other	0
r1028	6	Audio Cue	di	1096219	433677	1			0		other	0
r1028	6	Audio Cue	mi	1098719	436177	1			0		other	0
r1028	6	Audio Cue	po	1101219	438677	1			0		other	0
r1028	6	Audio Cue	la	1103719	441177	1			0		other	0
r1028	6	Audio Cue	nu	1106220	443677	1			0		other	0
r1028	6	Audio Cue	ga	1108720	446178	1			0		other	0
r1028	6	Audio Cue	di	1111220	448677	1			0		other	0
r1028	6	Audio Cue	ro	1113720	451178	1			0		other	0
r1028	6	Audio Cue	ki	1116220	453678	1			0		other	0
r1028	6	Audio Cue	se	1118720	456178	1			0		other	0
r1028	6	Audio Cue	nu	1121219	458677	1			0		other	0
r1028	6	Response	1	1122130	459588	0
r1028	6	Audio Cue	ga	1123719	461177	1			0		other	0
r1028	6	Audio Cue	di	1126220	463678	1			0		other	0
r1028	6	Audio Cue	ro	1128720	466177	1			0		other	0
r1028	6	Audio Cue	ki	1131220	468678	1			0		other	0
r1028	6	Audio Cue	se	1133720	471178	1			0		other	0
r1028	6	Response	1	1135170	472628	0
r1028	6	Audio Cue	nu	1136220	473678	1			0		other	0
r1028	6	Audio Cue	ga	1138720	476178	1			0		other	0
r1028	6	Audio Cue	di	1141220	478678	1			0		other	0
r1028	6	Audio Cue	ro	1143720	481178	1			0		other	0
r1028	6	Audio Cue	ki	1146221	483678	1			0		other	0
r1028	6	Audio Cue	se	1148721	486179	1			0		other	0
r1028	6	Response	1	1150690	488148	0
r1028	6	Audio Cue	mi	1151221	488679	1			0		other	0
r1028	6	Audio Cue	po	1153721	491179	1			0		other	0
r1028	6	Audio Cue	la	1156221	493679	1			0		other	0
r1028	6	Audio Cue	za	1158721	496179	1			0		other	0
r1028	6	Audio Cue	be	1161222	498679	1			0		other	0
r1028	6	Audio Cue	tu	1163722	501179	1			0		other	0
r1028	6	Audio Cue	ro	1166221	503679	1			0		other	0
r1028	6	Audio Cue	ki	1168721	506178	1			0		other	0
r1028	6	Audio Cue	se	1171220	508678	1			0		other	0
r1028	6	Response	1	1172290	509748	0
r1028	6	Audio Cue	za	1173721	511179	1			0		other	0
r1028	6	Audio Cue	be	1176221	513679	1			0		other	0
r1028	6	Audio Cue	tu	1178722	516180	1			0		other	0
r1028	6	Audio Cue	ro	1181222	518680	1			0		other	0
r1028	6	Audio Cue	ki	1183721	521179	1			0		other	0
r1028	6	Audio Cue	se	1186221	523679	1			0		other	0
r1028	6	Response	1	1187170	524627	0
r1028	6	Audio Cue	mi	1188722	526180	1			0		other	0
r1028	6	Audio Cue	po	1191222	528680	1			0		other	0
r1028	6	Audio Cue	la	1193722	531179	1			0		other	0
r1028	6	Audio Cue	za	1196221	533679	1			0		other	0
r1028	6	Audio Cue	be	1198722	536180	1			0		other	0
r1028	6	Audio Cue	tu	1201222	538680	1			0		other	0
r1028	7	Picture	break	1203911	0	1	8334	1	0	next	other	0
r1028	7	Response	1	1211730	7819	0
r1028	8	Sound	po	1247236	34992	1			35000		other	0
r1028	9	Audio Cue	za	1251724	1811	1			0		other	0
