data,test,n,w,CI.low,CI.hi,p
diss,ordinal position,468,2059356724,-0.03058389901865208,-0.02349961383197834,2.0726245594720243e-50
diss,transitional probability,239,500533804,-0.0659809905516387,-0.055877203331381714,1.5632039368114854e-120
diss,word identity,468,2177018935,-0.003354269550818344,0.003635720439499184,0.9386568135841354
diss,duplet identity,156,246508182,0.0025328988838979765,0.014685643893756725,0.0054699821305103724
diss,ordinal position,468,2059921111.5,-0.03040163725471262,-0.023318684470196423,1.2962959427960276e-49
diss,transitional probability,239,496646432,-0.06926672231649991,-0.059172056890746914,3.245630266540263e-134
diss,word identity,468,2174526740,-0.0038991117165364554,0.003087247710926144,0.8212324079340578
diss,duplet identity,156,246413920.5,0.002789633378187935,0.014971296413846697,0.004265293276856063
diss,ordinal position,468,2064575911,-0.029413881991237092,-0.02232680766604457,4.208537206023021e-46
diss,transitional probability,239,498729532,-0.06692945229811616,-0.05689884985288781,1.301260217905426e-126
diss,word identity,468,2178656304.5,-0.0030498145498683935,0.003984290203634465,0.7956727328926148
diss,duplet identity,156,245198083,5.077848308523714e-4,0.012779365307326556,0.03318794133876096
diss,ordinal position,468,2070926890,-0.028207459803592294,-0.02108320300911753,5.1164802874163007e-42
diss,transitional probability,239,503962295,-0.06254781855747758,-0.05244288696456895,5.49749145034054e-109
diss,word identity,468,2180673863,-0.002398598632796513,0.004599975115809911,0.5404856173285111
diss,duplet identity,156,247972663,0.005335267176786668,0.017553010249967714,2.4057021453742294e-4
diss,ordinal position,468,2052870941,-0.03203545292569736,-0.024949549645583446,1.1450802026772776e-55
diss,transitional probability,239,505536507,-0.06203737266438634,-0.051794748777509315,6.139607580938615e-104
diss,word identity,468,2173440511.5,-0.0042843356600578905,0.002742277890243042,0.6701410053795065
diss,duplet identity,156,247036765.5,0.0038320054420872616,0.01606165101896799,0.0014164245156589271
diss,ordinal position,468,2046724402,-0.03318601970341107,-0.02609817663488968,3.660252118947304e-60
diss,transitional probability,239,501700529,-0.06499985902510917,-0.05488826013020661,1.0450210437933366e-116
diss,word identity,468,2191073431,-2.0499448460332276e-4,0.006786408180042157,0.06712525662881326
diss,duplet identity,156,246305334,0.002676274524962788,0.014897719126546607,0.004815150423131212
diss,ordinal position,468,2058460487.5,-0.030952314320300104,-0.023867312910776525,1.3875627102918791e-051
diss,transitional probability,239,505344225,-0.06173258215244912,-0.051626988806587934,1.120719315123896e-104
diss,word identity,468,2174733721.5,-0.004289896927958035,0.002727829425292526,0.6649761758497581
diss,duplet identity,156,246550110.5,0.0028050598371703456,0.015018608429881895,0.004181164467347628
diss,ordinal position,468,2058919741.5,-0.03079668862804619,-0.02368152938863996,1.6544299060702765e-50
diss,transitional probability,239,497310984,-0.06846371933584251,-0.05838648296241821,6.135847685832901e-132
diss,word identity,468,2188973581,-9.418470489908799e-4,0.006074137948627503,0.15343061032979152
diss,duplet identity,156,246785365.5,0.003340764818185808,0.01554066520163407,0.0024246966130972445
diss,ordinal position,468,2048487480.5,-0.03299791389416593,-0.025924623913335526,9.33892512413043e-60
diss,transitional probability,239,503223216,-0.06382632216756719,-0.053629825432127215,2.2987088911134164e-111
diss,word identity,468,2169386102.5,-0.00498001401964494,0.0020416444273341217,0.41401637469382707
diss,duplet identity,156,246636430.5,0.0032464562907018606,0.015394595387597052,0.0026270265488687133
diss,ordinal position,468,2055071431,-0.03154276700514331,-0.024459025262817978,8.112632922448024e-54
diss,transitional probability,239,498818038,-0.067393590918190735,-0.05725840199046498,6.202409259412234e-126
diss,word identity,468,2185656758.5,-0.001347299879360768,0.005687671018248087,0.22982137249056966
diss,duplet identity,156,247763804,0.005164150752588446,0.017432162131909224,3.0589428878011155e-4
diss,ordinal position,468,2082618620,-0.025283001659164226,-0.0181704803726186,4.333039889901861e-33
diss,transitional probability,239,498314183,-0.0676564497985634,-0.05758791368757335,1.188178825894766e-128
diss,word identity,468,2191532747.5,5.490728971119603e-6,0.007040804489571535,0.04793987856586127
diss,duplet identity,156,246493489,0.0027230962387411266,0.014991034264295718,0.004677828649683866
diss,ordinal position,468,2062317043.5,-0.029873619421723115,-0.022786275287882515,9.37870604757972e-48
diss,transitional probability,239,507128553,-0.059996477514903265,-0.049865485416177344,3.707575612031093e-99
diss,word identity,468,2188094593.5,-9.399534309115047e-4,0.006080865565555673,0.15304363280593625
diss,duplet identity,156,248257996.5,0.006173829914657245,0.01837436138592579,8.074477960509359e-5
diss,ordinal position,468,2057525542,-0.031092935696584917,-0.023986404760384838,5.6442875307715076e-52
diss,transitional probability,239,506705093,-0.060684524104480934,-0.05050776771141217,1.3755641150833646e-100
diss,word identity,468,2164353515.5,-0.006345881012324911,6.968854972157941e-4,0.11779232235693847
diss,duplet identity,156,242634003.5,-0.005157989860311938,0.00704427607559805,0.761286244087305
diss,ordinal position,468,2035870660.5,-0.03588097674217293,-0.028755986445956234,1.4910481759572202e-70
diss,transitional probability,239,501953981,-0.06458238608267766,-0.054499033362132916,5.174337543447378e-116
diss,word identity,468,2183825483,-0.0017173270770203773,0.005320191469624723,0.3196162165097235
diss,duplet identity,156,247219161,0.004570657519323604,0.01670523807853183,5.899227373161792e-4
diss,ordinal position,468,2069420119,-0.028263673700813497,-0.021150571363307037,2.3307234248531223e-42
diss,transitional probability,239,505750991,-0.061727674291272024,-0.051522752453955566,8.169904407778599e-104
diss,word identity,468,2201308563.5,0.0019778225639089726,0.009022670296656921,0.0021454476654495587
diss,duplet identity,156,244798392,-5.753951412234755e-4,0.011594759683025093,0.07535716363356576
diss,ordinal position,468,2072410027,-0.027630687404222695,-0.0205439700730162,1.414434647698413e-40
diss,transitional probability,239,502600314,-0.0640058014356795,-0.053857873805744735,1.8426813547385618e-113
diss,word identity,468,2171410593,-0.004457704106103065,0.002531605537055821,0.5914185745238842
diss,duplet identity,156,247265839.5,0.004220205519233506,0.01658764336025092,9.808198982322487e-4
diss,ordinal position,468,2061797680.5,-0.030229934736469764,-0.02312475031468797,1.0414976783094782e-48
diss,transitional probability,239,503741274,-0.06337897814537209,-0.05319932441776794,4.087143883419001e-110
diss,word identity,468,2169627702,-0.005138687601942377,0.001909500507732297,0.3708107411212737
diss,duplet identity,156,243813469.5,-0.002414062560947155,0.009952988353073143,0.23167784272774875
